section	offset	size	unit	scope	name	demangled
.text	0x00000000	0x2AC	em1b/em10.cpp	global	_._5cEm10	cEm10::~cEm10
.text	0x000002AC	0x350	em1b/em10.cpp	global	setNoSuspend__5cEm10i	cEm10::setNoSuspend
.text	0x000005FC	0x80C	em1b/em10.cpp	global	em10DmCk__FP5cEm10	em10DmCk
.text	0x00000E08	0x310	em1b/em10.cpp	local	em10DmSetWep00__FP5cEm10	em10DmSetWep00
.text	0x00001118	0xC34	em1b/em10.cpp	local	em10DmSetWep02__FP5cEm10	em10DmSetWep02
.text	0x00001D4C	0x748	em1b/em10.cpp	local	em10DmSetWep03__FP5cEm10	em10DmSetWep03
.text	0x00002494	0x724	em1b/em10.cpp	local	em10DmSetWep09__FP5cEm10	em10DmSetWep09
.text	0x00002BB8	0x308	em1b/em10.cpp	local	em10DmSetWep23__FP5cEm10	em10DmSetWep23
.text	0x00002EC0	0x7B4	em1b/em10.cpp	global	em10BloodSet__FP5cEm10i	em10BloodSet
.text	0x00003674	0x69C	em1b/em10.cpp	global	em1cBloodSet__FP5cEm10i	em1cBloodSet
.text	0x00003D10	0xD0	em1b/em10.cpp	global	em10KickHitMark__FP5cEm10	em10KickHitMark
.text	0x00003DE0	0xDC4	em1b/em10.cpp	global	move__5cEm10	cEm10::move
.text	0x00004BA4	0x11EC	em1b/em10.cpp	global	em10InitRtnSet__FP5cEm10	em10InitRtnSet
.text	0x00005D90	0x8B8	em1b/em10.cpp	local	em10_R0_Init__FP5cEm10	em10_R0_Init
.text	0x00006648	0x60	em1b/em10.cpp	local	em10_R0_Move__FP5cEm10	em10_R0_Move
.text	0x000066A8	0x4	em1b/em10.cpp	local	em10_R1_br_Dummy__FP5cEm10	em10_R1_br_Dummy
.text	0x000066AC	0x4	em1b/em10.cpp	local	em10_R1_br_Wait__FP5cEm10	em10_R1_br_Wait
.text	0x000066B0	0x204	em1b/em10.cpp	local	em10_R1_Wait__FP5cEm10	em10_R1_Wait
.text	0x000068B4	0x430	em1b/em10.cpp	local	em10_R1_Keeper__FP5cEm10	em10_R1_Keeper
.text	0x00006CE4	0x21C	em1b/em10.cpp	local	em10_R1_Hide__FP5cEm10	em10_R1_Hide
.text	0x00006F00	0x248	em1b/em10.cpp	local	em10_R1_HideFall__FP5cEm10	em10_R1_HideFall
.text	0x00007148	0x384	em1b/em10.cpp	local	em10_R1_HideJump__FP5cEm10	em10_R1_HideJump
.text	0x000074CC	0x134	em1b/em10.cpp	local	em10_R1_R10CParasite__FP5cEm10	em10_R1_R10CParasite
.text	0x00007600	0x1CC	em1b/em10.cpp	local	em10_R1_R10CPCancel__FP5cEm10	em10_R1_R10CPCancel
.text	0x000077CC	0xD8	em1b/em10.cpp	local	em10_R1_R204Prayer__FP5cEm10	em10_R1_R204Prayer
.text	0x000078A4	0x6F4	em1b/em10.cpp	local	em10_R1_R222DragonA__FP5cEm10	em10_R1_R222DragonA
.text	0x00007F98	0x734	em1b/em10.cpp	local	em10_R1_R222DragonB__FP5cEm10	em10_R1_R222DragonB
.text	0x000086CC	0x560	em1b/em10.cpp	local	em10_R1_R222DragonC__FP5cEm10	em10_R1_R222DragonC
.text	0x00008C2C	0x17C	em1b/em10.cpp	local	em10_R1_R227Barrel__FP5cEm10	em10_R1_R227Barrel
.text	0x00008DA8	0xCC	em1b/em10.cpp	local	em10_R1_R21BTrolleyJump__FP5cEm10	em10_R1_R21BTrolleyJump
.text	0x00008E74	0x188	em1b/em10.cpp	local	em10_R1_R21BTrolleyJump2__FP5cEm10	em10_R1_R21BTrolleyJump2
.text	0x00008FFC	0x134	em1b/em10.cpp	local	em10_R1_R303FireDash__FP5cEm10	em10_R1_R303FireDash
.text	0x00009130	0x57C	em1b/em10.cpp	local	em10_R1_R10FGJump__FP5cEm10	em10_R1_R10FGJump
.text	0x000096AC	0x724	em1b/em10.cpp	local	em10_R1_R10FGondola__FP5cEm10	em10_R1_R10FGondola
.text	0x00009DD0	0xCC	em1b/em10.cpp	local	em10_R1_R209DashSit__FP5cEm10	em10_R1_R209DashSit
.text	0x00009E9C	0x3D0	em1b/em10.cpp	local	em10_R1_StickClaw__FP5cEm10	em10_R1_StickClaw
.text	0x0000A26C	0x250	em1b/em10.cpp	local	em10_R1_R11DAppear1__FP5cEm10	em10_R1_R11DAppear1
.text	0x0000A4BC	0x214	em1b/em10.cpp	local	em10_R1_R11DAppear2__FP5cEm10	em10_R1_R11DAppear2
.text	0x0000A6D0	0x298	em1b/em10.cpp	local	em10_R1_R212Drill__FP5cEm10	em10_R1_R212Drill
.text	0x0000A968	0x37C	em1b/em10.cpp	local	em10_R1_R209Gatling__FP5cEm10	em10_R1_R209Gatling
.text	0x0000ACE4	0x304	em1b/em10.cpp	local	em10_R1_R201EventWait__FP5cEm10	em10_R1_R201EventWait
.text	0x0000AFE8	0xE8	em1b/em10.cpp	local	em10_R1_FindLost__FP5cEm10	em10_R1_FindLost
.text	0x0000B0D0	0x130	em1b/em10.cpp	local	em10_R1_R100WalkStay__FP5cEm10	em10_R1_R100WalkStay
.text	0x0000B200	0x168	em1b/em10.cpp	local	em10_R1_R202Finger__FP5cEm10	em10_R1_R202Finger
.text	0x0000B368	0x19C	em1b/em10.cpp	local	em10_R1_StayWalk__FP5cEm10	em10_R1_StayWalk
.text	0x0000B504	0x3DC	em1b/em10.cpp	local	em10_R1_AttackWait__FP5cEm10	em10_R1_AttackWait
.text	0x0000B8E0	0x1BC	em1b/em10.cpp	local	em10_R1_R100TurnWalk__FP5cEm10	em10_R1_R100TurnWalk
.text	0x0000BA9C	0x2BC	em1b/em10.cpp	local	em10_R1_R100Cliff__FP5cEm10	em10_R1_R100Cliff
.text	0x0000BD58	0x5CC	em1b/em10.cpp	local	em10_R1_R101Bucket__FP5cEm10	em10_R1_R101Bucket
.text	0x0000C324	0x280	em1b/em10.cpp	local	em10_R1_R101Suki__FP5cEm10	em10_R1_R101Suki
.text	0x0000C5A4	0xA0	em1b/em10.cpp	local	em10_R1_Work__FP5cEm10	em10_R1_Work
.text	0x0000C644	0x1A0	em1b/em10.cpp	local	em10_R1_UFOCatch__FP5cEm10	em10_R1_UFOCatch
.text	0x0000C7E4	0x90	em1b/em10.cpp	local	em10_R1_R300TakeAshley__FP5cEm10	em10_R1_R300TakeAshley
.text	0x0000C874	0x260	em1b/em10.cpp	local	em10_R1_R30FBullJump__FP5cEm10	em10_R1_R30FBullJump
.text	0x0000CAD4	0x19C	em1b/em10.cpp	local	em10_R1_R320Gatling__FP5cEm10	em10_R1_R320Gatling
.text	0x0000CC70	0x1C	em1b/em10.cpp	local	em10_R1_R321DeadBody__FP5cEm10	em10_R1_R321DeadBody
.text	0x0000CC8C	0x180	em1b/em10.cpp	local	em10_R1_R300Gatling__FP5cEm10	em10_R1_R300Gatling
.text	0x0000CE0C	0x2D8	em1b/em10.cpp	local	em10_R1_R101Cart__FP5cEm10	em10_R1_R101Cart
.text	0x0000D0E4	0xB0	em1b/em10.cpp	local	em10_R1_br_EvtDash__FP5cEm10	em10_R1_br_EvtDash
.text	0x0000D194	0x3D8	em1b/em10.cpp	local	em10_R1_EvtDash__FP5cEm10	em10_R1_EvtDash
.text	0x0000D56C	0xB0	em1b/em10.cpp	local	em10_R1_br_EvtWalk__FP5cEm10	em10_R1_br_EvtWalk
.text	0x0000D61C	0x210	em1b/em10.cpp	local	em10_R1_EvtWalk__FP5cEm10	em10_R1_EvtWalk
.text	0x0000D82C	0x238	em1b/em10.cpp	local	em10_R1_Pickup__FP5cEm10	em10_R1_Pickup
.text	0x0000DA64	0x19C	em1b/em10.cpp	local	em10_R1_Find__FP5cEm10	em10_R1_Find
.text	0x0000DC00	0x27C	em1b/em10.cpp	local	em10_R1_C_SawStart__FP5cEm10	em10_R1_C_SawStart
.text	0x0000DE7C	0x1A4	em1b/em10.cpp	local	em10_R1_BombIgnition__FP5cEm10	em10_R1_BombIgnition
.text	0x0000E020	0x23C	em1b/em10.cpp	local	em10_R1_br_Walk__FP5cEm10	em10_R1_br_Walk
.text	0x0000E25C	0x4F8	em1b/em10.cpp	local	em10_R1_Walk__FP5cEm10	em10_R1_Walk
.text	0x0000E754	0x1C8	em1b/em10.cpp	local	em10_R1_br_Dash__FP5cEm10	em10_R1_br_Dash
.text	0x0000E91C	0x56C	em1b/em10.cpp	local	em10_R1_Dash__FP5cEm10	em10_R1_Dash
.text	0x0000EE88	0x2C	em1b/em10.cpp	local	em10_R1_br_Back__FP5cEm10	em10_R1_br_Back
.text	0x0000EEB4	0x3A8	em1b/em10.cpp	local	em10_R1_Back__FP5cEm10	em10_R1_Back
.text	0x0000F25C	0x118	em1b/em10.cpp	local	em10_R1_br_Goto__FP5cEm10	em10_R1_br_Goto
.text	0x0000F374	0xD24	em1b/em10.cpp	local	em10_R1_Goto__FP5cEm10	em10_R1_Goto
.text	0x00010098	0x2DC	em1b/em10.cpp	local	em10_R1_GuardWalk__FP5cEm10	em10_R1_GuardWalk
.text	0x00010374	0x474	em1b/em10.cpp	local	em10_R1_Turn180__FP5cEm10	em10_R1_Turn180
.text	0x000107E8	0x184	em1b/em10.cpp	local	em10_R1_Threat__FP5cEm10	em10_R1_Threat
