section	offset	size	unit	scope	name	demangled
.text	0x00000000	0x224	t_camera/db_light.cpp	global	__10cLightTool	cLightTool::cLightTool
.text	0x00000224	0x70	t_camera/db_light.cpp	global	_._10cLightTool	cLightTool::~cLightTool
.text	0x00000294	0x7A4	t_camera/db_light.cpp	global	move__10cLightTool	cLightTool::move
.text	0x00000A38	0xC	t_camera/db_light.cpp	global	dblCk__10cLightToolUl	cLightTool::dblCk
.text	0x00000A44	0x78	t_camera/db_light.cpp	global	editEnable__10cLightTool	cLightTool::editEnable
.text	0x00000ABC	0x158	t_camera/db_light.cpp	global	updateLit__10cLightTool	cLightTool::updateLit
.text	0x00000C14	0x158	t_camera/db_light.cpp	local	menu__Fv	menu
.text	0x00000D6C	0x40	t_camera/db_light.cpp	local	edit__Fv	edit
.text	0x00000DAC	0x188	t_camera/db_light.cpp	local	edit_menu__Fv	edit_menu
.text	0x00000F34	0x2DC	t_camera/db_light.cpp	local	edit_cutsel__Fv	edit_cutsel
.text	0x00001210	0x364	t_camera/db_light.cpp	local	edit_cutsel_main__Fv	edit_cutsel_main
.text	0x00001574	0x2F0	t_camera/db_light.cpp	local	edit_cutsel_sub__Fv	edit_cutsel_sub
.text	0x00001864	0x8C	t_camera/db_light.cpp	global	lightCopyCut__Fi	lightCopyCut
.text	0x000018F0	0x94	t_camera/db_light.cpp	global	lightPasteCut__Fi	lightPasteCut
.text	0x00001984	0x84	t_camera/db_light.cpp	global	lightPasteAmbient__Fi	lightPasteAmbient
.text	0x00001A08	0xA8	t_camera/db_light.cpp	global	lightPasteFog__Fi	lightPasteFog
.text	0x00001AB0	0xA8	t_camera/db_light.cpp	global	lightPasteMFog__Fi	lightPasteMFog
.text	0x00001B58	0x8	t_camera/db_light.cpp	global	lightPasteShadow__Fi	lightPasteShadow
.text	0x00001B60	0x8C	t_camera/db_light.cpp	global	lightPasteFocus__Fi	lightPasteFocus
.text	0x00001BEC	0x84	t_camera/db_light.cpp	global	lightPasteBlur__Fi	lightPasteBlur
.text	0x00001C70	0xA8	t_camera/db_light.cpp	global	lightPasteTune__Fi	lightPasteTune
.text	0x00001D18	0xE8	t_camera/db_light.cpp	global	lightPasteScale__Fi	lightPasteScale
.text	0x00001E00	0x100	t_camera/db_light.cpp	global	lightPasteCutAll__Fi	lightPasteCutAll
.text	0x00001F00	0xE0	t_camera/db_light.cpp	global	lightPasteCutAll2__Fi	lightPasteCutAll2
.text	0x00001FE0	0x58	t_camera/db_light.cpp	global	copyCut__FP9cLightEnv	copyCut
.text	0x00002038	0x44	t_camera/db_light.cpp	local	edit_light__Fv	edit_light
.text	0x0000207C	0x334	t_camera/db_light.cpp	local	edit_light_select__Fv	edit_light_select
.text	0x000023B0	0x5A4	t_camera/db_light.cpp	local	edit_light_select_sub__Fv	edit_light_select_sub
.text	0x00002954	0x22C	t_camera/db_light.cpp	global	lightCopyWork__FP6cLightT0	lightCopyWork
.text	0x00002B80	0x490	t_camera/db_light.cpp	global	lightCutWork__Fi	lightCutWork
.text	0x00003010	0x488	t_camera/db_light.cpp	global	lightInsertWork__Fi	lightInsertWork
.text	0x00003498	0x9C	t_camera/db_light.cpp	local	edit_light_no__Fv	edit_light_no
.text	0x00003534	0x178	t_camera/db_light.cpp	local	edit_light_id__Fv	edit_light_id
.text	0x000036AC	0xD4	t_camera/db_light.cpp	local	edit_light_id_normal__Fv	edit_light_id_normal
.text	0x00003780	0x1F0	t_camera/db_light.cpp	local	edit_light_id_flick__Fv	edit_light_id_flick
.text	0x00003970	0x294	t_camera/db_light.cpp	local	edit_light_id_wave__Fv	edit_light_id_wave
.text	0x00003C04	0x334	t_camera/db_light.cpp	local	edit_light_id_round__Fv	edit_light_id_round
.text	0x00003F38	0x590	t_camera/db_light.cpp	local	edit_light_id_shadow__Fv	edit_light_id_shadow
.text	0x000044C8	0x3B0	t_camera/db_light.cpp	local	edit_light_id_path__Fv	edit_light_id_path
.text	0x00004878	0x278	t_camera/db_light.cpp	local	edit_light_id_fade__Fv	edit_light_id_fade
.text	0x00004AF0	0x334	t_camera/db_light.cpp	local	edit_light_id_shine__Fv	edit_light_id_shine
.text	0x00004E24	0x4	t_camera/db_light.cpp	local	edit_light_id_spotlock__Fv	edit_light_id_spotlock
.text	0x00004E28	0x3BC	t_camera/db_light.cpp	local	edit_light_eid__Fv	edit_light_eid
.text	0x000051E4	0x770	t_camera/db_light.cpp	local	edit_light_parent__Fv	edit_light_parent
.text	0x00005954	0xC0	t_camera/db_light.cpp	global	posTranslate__FP6cLightUcUl	posTranslate
.text	0x00005A14	0x2BC	t_camera/db_light.cpp	local	edit_light_pos__Fv	edit_light_pos
.text	0x00005CD0	0x390	t_camera/db_light.cpp	local	edit_light_radius__Fv	edit_light_radius
.text	0x00006060	0xB0	t_camera/db_light.cpp	local	edit_light_color__Fv	edit_light_color
.text	0x00006110	0x1EC	t_camera/db_light.cpp	local	edit_light_intensity__Fv	edit_light_intensity
.text	0x000062FC	0xD4	t_camera/db_light.cpp	local	edit_light_type__Fv	edit_light_type
.text	0x000063D0	0xC0	t_camera/db_light.cpp	global	edit_light_type_shadow__Fv	edit_light_type_shadow
.text	0x00006490	0x154	t_camera/db_light.cpp	global	shadow_select_type__Fv	shadow_select_type
.text	0x000065E4	0x704	t_camera/db_light.cpp	local	edit_light_type_shadow_fit__Fv	edit_light_type_shadow_fit
.text	0x00006CE8	0x704	t_camera/db_light.cpp	local	edit_light_type_shadow_parallel__Fv	edit_light_type_shadow_parallel
.text	0x000073EC	0x418	t_camera/db_light.cpp	local	edit_light_type_shadow_fix__Fv	edit_light_type_shadow_fix
.text	0x00007804	0x140	t_camera/db_light.cpp	local	edit_light_kind__Fv	edit_light_kind
.text	0x00007944	0x268	t_camera/db_light.cpp	local	edit_light_attr__Fv	edit_light_attr
.text	0x00007BAC	0x130	t_camera/db_light.cpp	local	edit_light_priority__Fv	edit_light_priority
.text	0x00007CDC	0x174	t_camera/db_light.cpp	global	select_type__Fv	select_type
.text	0x00007E50	0x238	t_camera/db_light.cpp	local	edit_light_type_constant__Fv	edit_light_type_constant
.text	0x00008088	0x1EC	t_camera/db_light.cpp	local	edit_light_type_quad__Fv	edit_light_type_quad
.text	0x00008274	0x4F4	t_camera/db_light.cpp	local	edit_light_type_spotlight__Fv	edit_light_type_spotlight
.text	0x00008768	0x714	t_camera/db_light.cpp	local	edit_light_type_direct__Fv	edit_light_type_direct
.text	0x00008E7C	0x1EC	t_camera/db_light.cpp	local	edit_light_type_localamb__Fv	edit_light_type_localamb
.text	0x00009068	0x40	t_camera/db_light.cpp	global	func_attn__FP6cLightf	func_attn
.text	0x000090A8	0x554	t_camera/db_light.cpp	global	draw_light_graph__FP6cLight	draw_light_graph
.text	0x000095FC	0x534	t_camera/db_light.cpp	local	edit_light_type_parallel__Fv	edit_light_type_parallel
.text	0x00009B30	0x4	t_camera/db_light.cpp	local	edit_light_prop_sub__Fv	edit_light_prop_sub
.text	0x00009B34	0x48C	t_camera/db_light.cpp	local	edit_ambient__Fv	edit_ambient
.text	0x00009FC0	0x64	t_camera/db_light.cpp	local	edit_fog__Fv	edit_fog
.text	0x0000A024	0x64	t_camera/db_light.cpp	local	edit_mirror_fog__Fv	edit_mirror_fog
.text	0x0000A088	0x424	t_camera/db_light.cpp	global	edit_fog_common__FP8LightFog	edit_fog_common
.text	0x0000A4AC	0x2FC	t_camera/db_light.cpp	local	edit_focus__Fv	edit_focus
.text	0x0000A7A8	0x2F8	t_camera/db_light.cpp	global	draw_tone_curve__Fv	draw_tone_curve
.text	0x0000AAA0	0x6C4	t_camera/db_light.cpp	local	edit_blur__Fv	edit_blur
.text	0x0000B164	0x40C	t_camera/db_light.cpp	local	edit_mipmap__Fv	edit_mipmap
.text	0x0000B570	0x4C0	t_camera/db_light.cpp	local	edit_tune__Fv	edit_tune
.text	0x0000BA30	0x28C	t_camera/db_light.cpp	local	edit_scale__Fv	edit_scale
.text	0x0000BCBC	0x198	t_camera/db_light.cpp	local	edit_param__Fv	edit_param
.text	0x0000BE54	0x5C8	t_camera/db_light.cpp	local	edit_wind__Fv	edit_wind
.text	0x0000C41C	0x18C	t_camera/db_light.cpp	local	path__Fv	path
.text	0x0000C5A8	0xF20	t_camera/db_light.cpp	local	load__Fv	load
.text	0x0000D4C8	0xE44	t_camera/db_light.cpp	local	save__Fv	save
.text	0x0000E30C	0x898	t_camera/db_light.cpp	local	option__Fv	option
.text	0x0000EBA4	0x1C8	t_camera/db_light.cpp	local	quit__Fv	quit
.text	0x0000ED6C	0x5CC	t_camera/db_light.cpp	global	printEditTable__Fv	printEditTable
.text	0x0000F338	0x54	t_camera/db_light.cpp	global	printCursor__10cLightToolii	cLightTool::printCursor
.text	0x0000F38C	0x1E0	t_camera/db_light.cpp	global	DrawTile__FiiiiP7GXColor	DrawTile
.text	0x0000F56C	0x18	t_camera/db_light.cpp	global	clearWork__10cLightTool	cLightTool::clearWork
.text	0x0000F584	0x1C	t_camera/db_light.cpp	global	clearSubMenu__10cLightTool	cLightTool::clearSubMenu
.text	0x0000F5A0	0x30	t_camera/db_light.cpp	global	__6cDbLit	cDbLit::cDbLit
.text	0x0000F5D0	0xA0	t_camera/db_light.cpp	global	size__6cDbLit	cDbLit::size
.text	0x0000F670	0x10	t_camera/db_light.cpp	global	getCut__6cDbLitUs	cDbLit::getCut
.text	0x0000F680	0x8C	t_camera/db_light.cpp	global	LitLoadWork__FP6cDbLiti	LitLoadWork
.text	0x0000F70C	0x134	t_camera/db_light.cpp	global	LitSaveWork__FP6cDbLiti	LitSaveWork
