section	offset	size	unit	scope	name	demangled
.text	0x00000000	0xB0	t_esp/db_light.cpp	global	SetToolLight__Fi	SetToolLight
.text	0x000000B0	0x224	t_esp/db_light.cpp	global	__10cLightTool	cLightTool::cLightTool
.text	0x000002D4	0x70	t_esp/db_light.cpp	global	_._10cLightTool	cLightTool::~cLightTool
.text	0x00000344	0x7A4	t_esp/db_light.cpp	global	move__10cLightTool	cLightTool::move
.text	0x00000AE8	0xC	t_esp/db_light.cpp	global	dblCk__10cLightToolUl	cLightTool::dblCk
.text	0x00000AF4	0x78	t_esp/db_light.cpp	global	editEnable__10cLightTool	cLightTool::editEnable
.text	0x00000B6C	0x158	t_esp/db_light.cpp	global	updateLit__10cLightTool	cLightTool::updateLit
.text	0x00000CC4	0x158	t_esp/db_light.cpp	local	menu__Fv	menu
.text	0x00000E1C	0x40	t_esp/db_light.cpp	local	edit__Fv	edit
.text	0x00000E5C	0x188	t_esp/db_light.cpp	local	edit_menu__Fv	edit_menu
.text	0x00000FE4	0x2DC	t_esp/db_light.cpp	local	edit_cutsel__Fv	edit_cutsel
.text	0x000012C0	0x364	t_esp/db_light.cpp	local	edit_cutsel_main__Fv	edit_cutsel_main
.text	0x00001624	0x2F0	t_esp/db_light.cpp	local	edit_cutsel_sub__Fv	edit_cutsel_sub
.text	0x00001914	0x8C	t_esp/db_light.cpp	global	lightCopyCut__Fi	lightCopyCut
.text	0x000019A0	0x94	t_esp/db_light.cpp	global	lightPasteCut__Fi	lightPasteCut
.text	0x00001A34	0x84	t_esp/db_light.cpp	global	lightPasteAmbient__Fi	lightPasteAmbient
.text	0x00001AB8	0xA8	t_esp/db_light.cpp	global	lightPasteFog__Fi	lightPasteFog
.text	0x00001B60	0xA8	t_esp/db_light.cpp	global	lightPasteMFog__Fi	lightPasteMFog
.text	0x00001C08	0x8	t_esp/db_light.cpp	global	lightPasteShadow__Fi	lightPasteShadow
.text	0x00001C10	0x8C	t_esp/db_light.cpp	global	lightPasteFocus__Fi	lightPasteFocus
.text	0x00001C9C	0x84	t_esp/db_light.cpp	global	lightPasteBlur__Fi	lightPasteBlur
.text	0x00001D20	0xA8	t_esp/db_light.cpp	global	lightPasteTune__Fi	lightPasteTune
.text	0x00001DC8	0xE8	t_esp/db_light.cpp	global	lightPasteScale__Fi	lightPasteScale
.text	0x00001EB0	0x100	t_esp/db_light.cpp	global	lightPasteCutAll__Fi	lightPasteCutAll
.text	0x00001FB0	0xE0	t_esp/db_light.cpp	global	lightPasteCutAll2__Fi	lightPasteCutAll2
.text	0x00002090	0x58	t_esp/db_light.cpp	global	copyCut__FP9cLightEnv	copyCut
.text	0x000020E8	0x44	t_esp/db_light.cpp	local	edit_light__Fv	edit_light
.text	0x0000212C	0x334	t_esp/db_light.cpp	local	edit_light_select__Fv	edit_light_select
.text	0x00002460	0x5A4	t_esp/db_light.cpp	local	edit_light_select_sub__Fv	edit_light_select_sub
.text	0x00002A04	0x22C	t_esp/db_light.cpp	global	lightCopyWork__FP6cLightT0	lightCopyWork
.text	0x00002C30	0x490	t_esp/db_light.cpp	global	lightCutWork__Fi	lightCutWork
.text	0x000030C0	0x488	t_esp/db_light.cpp	global	lightInsertWork__Fi	lightInsertWork
.text	0x00003548	0x9C	t_esp/db_light.cpp	local	edit_light_no__Fv	edit_light_no
.text	0x000035E4	0x178	t_esp/db_light.cpp	local	edit_light_id__Fv	edit_light_id
.text	0x0000375C	0xD4	t_esp/db_light.cpp	local	edit_light_id_normal__Fv	edit_light_id_normal
.text	0x00003830	0x1F0	t_esp/db_light.cpp	local	edit_light_id_flick__Fv	edit_light_id_flick
.text	0x00003A20	0x294	t_esp/db_light.cpp	local	edit_light_id_wave__Fv	edit_light_id_wave
.text	0x00003CB4	0x334	t_esp/db_light.cpp	local	edit_light_id_round__Fv	edit_light_id_round
.text	0x00003FE8	0x590	t_esp/db_light.cpp	local	edit_light_id_shadow__Fv	edit_light_id_shadow
.text	0x00004578	0x3B0	t_esp/db_light.cpp	local	edit_light_id_path__Fv	edit_light_id_path
.text	0x00004928	0x278	t_esp/db_light.cpp	local	edit_light_id_fade__Fv	edit_light_id_fade
.text	0x00004BA0	0x334	t_esp/db_light.cpp	local	edit_light_id_shine__Fv	edit_light_id_shine
.text	0x00004ED4	0x4	t_esp/db_light.cpp	local	edit_light_id_spotlock__Fv	edit_light_id_spotlock
.text	0x00004ED8	0x3BC	t_esp/db_light.cpp	local	edit_light_eid__Fv	edit_light_eid
.text	0x00005294	0x770	t_esp/db_light.cpp	local	edit_light_parent__Fv	edit_light_parent
.text	0x00005A04	0xC0	t_esp/db_light.cpp	global	posTranslate__FP6cLightUcUl	posTranslate
.text	0x00005AC4	0x2BC	t_esp/db_light.cpp	local	edit_light_pos__Fv	edit_light_pos
.text	0x00005D80	0x390	t_esp/db_light.cpp	local	edit_light_radius__Fv	edit_light_radius
.text	0x00006110	0xB0	t_esp/db_light.cpp	local	edit_light_color__Fv	edit_light_color
.text	0x000061C0	0x1EC	t_esp/db_light.cpp	local	edit_light_intensity__Fv	edit_light_intensity
.text	0x000063AC	0xD4	t_esp/db_light.cpp	local	edit_light_type__Fv	edit_light_type
.text	0x00006480	0xC0	t_esp/db_light.cpp	global	edit_light_type_shadow__Fv	edit_light_type_shadow
.text	0x00006540	0x154	t_esp/db_light.cpp	global	shadow_select_type__Fv	shadow_select_type
.text	0x00006694	0x704	t_esp/db_light.cpp	local	edit_light_type_shadow_fit__Fv	edit_light_type_shadow_fit
.text	0x00006D98	0x704	t_esp/db_light.cpp	local	edit_light_type_shadow_parallel__Fv	edit_light_type_shadow_parallel
.text	0x0000749C	0x418	t_esp/db_light.cpp	local	edit_light_type_shadow_fix__Fv	edit_light_type_shadow_fix
.text	0x000078B4	0x140	t_esp/db_light.cpp	local	edit_light_kind__Fv	edit_light_kind
.text	0x000079F4	0x268	t_esp/db_light.cpp	local	edit_light_attr__Fv	edit_light_attr
.text	0x00007C5C	0x130	t_esp/db_light.cpp	local	edit_light_priority__Fv	edit_light_priority
.text	0x00007D8C	0x174	t_esp/db_light.cpp	global	select_type__Fv	select_type
.text	0x00007F00	0x238	t_esp/db_light.cpp	local	edit_light_type_constant__Fv	edit_light_type_constant
.text	0x00008138	0x1EC	t_esp/db_light.cpp	local	edit_light_type_quad__Fv	edit_light_type_quad
.text	0x00008324	0x4F4	t_esp/db_light.cpp	local	edit_light_type_spotlight__Fv	edit_light_type_spotlight
.text	0x00008818	0x714	t_esp/db_light.cpp	local	edit_light_type_direct__Fv	edit_light_type_direct
.text	0x00008F2C	0x1EC	t_esp/db_light.cpp	local	edit_light_type_localamb__Fv	edit_light_type_localamb
.text	0x00009118	0x40	t_esp/db_light.cpp	global	func_attn__FP6cLightf	func_attn
.text	0x00009158	0x554	t_esp/db_light.cpp	global	draw_light_graph__FP6cLight	draw_light_graph
.text	0x000096AC	0x534	t_esp/db_light.cpp	local	edit_light_type_parallel__Fv	edit_light_type_parallel
.text	0x00009BE0	0x4	t_esp/db_light.cpp	local	edit_light_prop_sub__Fv	edit_light_prop_sub
.text	0x00009BE4	0x48C	t_esp/db_light.cpp	local	edit_ambient__Fv	edit_ambient
.text	0x0000A070	0x64	t_esp/db_light.cpp	local	edit_fog__Fv	edit_fog
.text	0x0000A0D4	0x64	t_esp/db_light.cpp	local	edit_mirror_fog__Fv	edit_mirror_fog
.text	0x0000A138	0x424	t_esp/db_light.cpp	global	edit_fog_common__FP8LightFog	edit_fog_common
.text	0x0000A55C	0x2FC	t_esp/db_light.cpp	local	edit_focus__Fv	edit_focus
.text	0x0000A858	0x2F8	t_esp/db_light.cpp	global	draw_tone_curve__Fv	draw_tone_curve
.text	0x0000AB50	0x6C4	t_esp/db_light.cpp	local	edit_blur__Fv	edit_blur
.text	0x0000B214	0x40C	t_esp/db_light.cpp	local	edit_mipmap__Fv	edit_mipmap
