address	size	section	unit	scope	name	demangled
0x800034A0	0x3F8	.text	game/cam_ctrl.cpp	global	HermiteExport__13CameraControlP9CameraCutPUc	CameraControl::HermiteExport
0x80003898	0x18	.text	game/cam_ctrl.cpp	global	IsChangeCamera__13CameraControl	CameraControl::IsChangeCamera
0x800038B0	0x58	.text	game/cam_ctrl.cpp	global	Comeback__13CameraControli	CameraControl::Comeback
0x80003908	0x18	.text	game/cam_ctrl.cpp	global	Disable__13CameraControl	CameraControl::Disable
0x80003920	0x38	.text	game/cam_ctrl.cpp	global	AreaCheckOnOff__13CameraControli	CameraControl::AreaCheckOnOff
0x80003958	0xC	.text	game/cam_ctrl.cpp	global	AreaNum__13CameraControl	CameraControl::AreaNum
0x80003964	0xC	.text	game/cam_ctrl.cpp	global	CurrentAreaNo__13CameraControl	CameraControl::CurrentAreaNo
0x80003970	0xC	.text	game/cam_ctrl.cpp	global	CurrentCameraNo__13CameraControl	CameraControl::CurrentCameraNo
0x8000397C	0x64	.text	game/cam_ctrl.cpp	global	DataSearch__13CameraControli	CameraControl::DataSearch
0x800039E0	0x94	.text	game/cam_ctrl.cpp	global	LerpDataSearch__13CameraControliiii	CameraControl::LerpDataSearch
0x80003A74	0x1E4	.text	game/cam_ctrl.cpp	global	calcAddr__13CameraControlP16CameraDataHeader	CameraControl::calcAddr
0x80003C58	0x40	.text	game/cam_ctrl.cpp	global	RoomDataRead__13CameraControlP16CameraDataHeader	CameraControl::RoomDataRead
0x80003C98	0x28	.text	game/cam_ctrl.cpp	global	CoreDataRead__13CameraControlP16CameraDataHeader	CameraControl::CoreDataRead
0x80003CC0	0x3F4	.text	game/cam_ctrl.cpp	global	cameraHitCheck__FP3VecN30	cameraHitCheck
0x800040B4	0x7C	.text	game/cam_ctrl.cpp	global	CameraSetCutData__FP6CAMERAP9CameraCut	CameraSetCutData
0x80004130	0x5C	.text	game/cam_ctrl.cpp	global	AreaOnOff__13CameraControliii	CameraControl::AreaOnOff
0x8000418C	0x64	.text	game/cam_ctrl.cpp	global	SetAreaAttr__13CameraControliiUc	CameraControl::SetAreaAttr
0x800041F0	0x68	.text	game/cam_ctrl.cpp	global	UnsetAreaAttr__13CameraControliiUc	CameraControl::UnsetAreaAttr
0x80004258	0xD4	.text	game/cam_ctrl.cpp	global	CutCall__13CameraControli	CameraControl::CutCall
0x8000432C	0x444	.text	game/cam_ctrl.cpp	global	switchCamera__13CameraControlP13CameraAreaRec	CameraControl::switchCamera
0x80004770	0x30	.text	game/cam_ctrl.cpp	global	areaAttr__FP14CameraAreaInfoUcUc	areaAttr
0x800047A0	0x128	.text	game/cam_ctrl.cpp	global	areaHit__FP3VecP14CameraAreaInfof	areaHit
0x800048C8	0x168	.text	game/cam_ctrl.cpp	global	area_hit_p3__FP3VecP14CameraAreaInfo	area_hit_p3
0x80004A30	0x1F4	.text	game/cam_ctrl.cpp	global	area_hit_pN__FP3VecP14CameraAreaInfo	area_hit_pN
0x80004C24	0x470	.text	game/cam_ctrl.cpp	global	areaHitCheck__13CameraControl	CameraControl::areaHitCheck
0x80005094	0x268	.text	game/cam_ctrl.cpp	global	roomInit__13CameraControl	CameraControl::roomInit
0x800052FC	0x18C	.text	game/cam_ctrl.cpp	global	Check__13CameraControl	CameraControl::Check
0x80005488	0x6F8	.text	game/cam_ctrl.cpp	global	Move__13CameraControl	CameraControl::Move
0x80005B80	0x88	.text	game/cam_ctrl.cpp	global	CalcAim__13CameraControlP9CameraCut	CameraControl::CalcAim
0x80005C08	0xC	.text	game/cam_ctrl.cpp	global	getCameraPitch__13CameraControl	CameraControl::getCameraPitch
0x80005C14	0x5C	.text	game/cam_ctrl.cpp	global	set__19CameraInterpolationiP11CameraParam	CameraInterpolation::set
0x80005C70	0x200	.text	game/cam_ctrl.cpp	global	move__19CameraInterpolationP11CameraParam	CameraInterpolation::move
0x80005E70	0x5C	.text	game/cam_ctrl.cpp	global	init__12CameraSmoothP11CameraParam	CameraSmooth::init
0x80005ECC	0x128	.text	game/cam_ctrl.cpp	global	move__12CameraSmoothP11CameraParam	CameraSmooth::move
0x80005FF4	0x4	.text	game/cam_ctrl.cpp	global	r0_Wait__13CameraControl	CameraControl::r0_Wait
0x80005FF8	0x418	.text	game/cam_ctrl.cpp	global	r0_Debug__13CameraControl	CameraControl::r0_Debug
0x80006410	0xAC	.text	game/cam_ctrl.cpp	global	r0_Fix__13CameraControl	CameraControl::r0_Fix
0x800064BC	0x1C0	.text	game/cam_ctrl.cpp	global	r0_Pan__13CameraControl	CameraControl::r0_Pan
0x8000667C	0x1AC	.text	game/cam_ctrl.cpp	global	r0_Track__13CameraControl	CameraControl::r0_Track
0x80006828	0x1EC	.text	game/cam_ctrl.cpp	global	r0_RailPan__13CameraControl	CameraControl::r0_RailPan
0x80006A14	0x4	.text	game/cam_ctrl.cpp	global	r0_UpCut__13CameraControl	CameraControl::r0_UpCut
0x80006A18	0xDC0	.text	game/cam_ctrl.cpp	global	r0_RailBehind__13CameraControl	CameraControl::r0_RailBehind
0x800077D8	0x730	.text	game/cam_ctrl.cpp	global	r0_Free__13CameraControl	CameraControl::r0_Free
0x80007F08	0x18	.text	game/cam_ctrl.cpp	global	CamCtrlShoulderSetSearchFrame__Fs	CamCtrlShoulderSetSearchFrame
0x80007F20	0x24	.text	game/cam_ctrl.cpp	global	CamCtrlShoulderSetAim__FP3Vec	CamCtrlShoulderSetAim
0x80007F44	0x1C	.text	game/cam_ctrl.cpp	global	resetCameraAngle__13CameraControl	CameraControl::resetCameraAngle
0x80007F60	0x1C	.text	game/cam_ctrl.cpp	global	getCameraDirection__13CameraControl	CameraControl::getCameraDirection
0x80007F7C	0x3F0	.text	game/cam_ctrl.cpp	global	Parametrize__FP9CameraCutP13CameraBSpline	Parametrize
0x8000836C	0x118	.text	game/cam_ctrl.cpp	global	BSpline__FP13CameraBSplineP6CAMERAi	BSpline
0x80008484	0x2F0	.text	game/cam_ctrl.cpp	global	searchRail__FP13CameraBSplineP9CameraCutP3Veci	searchRail
0x80008774	0x1D8	.text	game/cam_ctrl.cpp	global	debugDrawRail__13CameraControlP9CameraCut	CameraControl::debugDrawRail
0x8000894C	0xB8	.text	game/cam_ctrl.cpp	global	UpCutCall__13CameraControliP3VecN22i	CameraControl::UpCutCall
